# SCALE_PX_PER_MM 2.7500
# BOARD_HEIGHT_MM 829.0909
UC1_1	190.588	479.170	270.00	T	BGA1744_50X25_1_4_1710571265	B	Placement
C3808_1	55.447	580.371	-0.00	T	C0_6X0_3X0_3_1044820018	C	Placement
C7801_1	294.748	734.475	270.00	T	C0_6X0_3X0_3_1044820018	C	Placement
CT7202_1	234.226	732.681	90.00	T	C0_6X0_3X0_3_1044820018	C	Placement
C3807_2	229.933	604.998	180.00	T	C0_6X0_3X0_3_1044820018	C	Placement
CT7201_2	655.254	183.777	270.00	T	C0_6X0_3X0_3_1044820018	C	Placement
CG1508_1	54.162	400.246	180.00	T	C0_6X0_3X0_3_1044880092	C	Placement
CG1580_1	641.169	130.498	90.00	T	C0_6X0_3X0_3_1044880092	C	Placement
CG1608_1	641.971	116.227	90.00	T	C0_6X0_3X0_3_1044880092	C	Placement
CG2922_1	48.055	365.249	90.00	T	C0_6X0_3X0_3_1044880092	C	Placement
CL5104_1	57.308	365.141	90.00	T	C0_6X0_3X0_3_1044880092	C	Placement
CG1507_2	392.739	785.098	180.00	T	C0_6X0_3X0_3_1044880092	C	Placement
CG1607_2	383.270	785.214	270.00	T	C0_6X0_3X0_3_1044880092	C	Placement
CS6811_1	263.877	718.485	180.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CV546_1	100.258	398.428	270.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CV557_1	100.161	391.624	270.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CV2724_1	53.940	390.908	270.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CS6810_2	644.906	53.345	-0.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CT4213_2	400.711	785.128	180.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CV545_2	398.343	764.993	90.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CV2723_2	390.055	739.992	90.00	T	C0_6X0_3X0_3_1045380111	C	Placement
CT4236_1	58.877	459.697	180.00	T	C0_6X0_3X0_3_1045380114	C	Placement
CT4202_2	32.734	798.940	180.00	T	C0_6X0_3X0_3_1045980076	C	Placement
CT4402_1	31.364	462.181	180.00	T	C0_6X0_3X0_3_1045980077	C	Placement
CT4214_1	42.585	459.555	-0.00	T	C0_6X0_3X0_3_1045980078	C	Placement
CT4203_1	77.788	457.449	-0.00	T	C0_6X0_3X0_3_1045980081	C	Placement
PCG6_2	192.348	643.663	270.00	T	C1_0X0_5X0_5_1044220246	C	Placement
PCV36_1	641.096	153.651	180.00	T	C1_0X0_5X0_5_1044220251	C	Placement
PCZ55_1	81.880	563.350	-0.00	T	C1_0X0_5X0_5_1044220251	C	Placement
PCV46_2	370.706	701.866	-0.00	T	C1_0X0_5X0_5_1044220251	C	Placement
PCZ54_2	316.028	684.928	-0.00	T	C1_0X0_5X0_5_1044220251	C	Placement
PCZ11_1	120.306	573.699	180.00	T	C1_0X0_5X0_5_1044220252	C	Placement
PCB1_2	190.089	742.680	270.00	T	C1_0X0_5X0_5_1044220252	C	Placement
PCB10_2	315.844	708.147	270.00	T	C1_0X0_5X0_5_1044220252	C	Placement
PCW23_2	170.965	723.002	90.00	T	C1_0X0_5X0_5_1044220252	C	Placement
PCZ8_2	119.295	596.676	90.00	T	C1_0X0_5X0_5_1044220252	C	Placement
PCV14_1	660.311	256.652	180.00	T	C1_0X0_5X0_5_1044220271	C	Placement
PCV13_2	190.452	709.026	270.00	T	C1_0X0_5X0_5_1044220271	C	Placement
PCZ10_2	65.992	608.397	270.00	T	C1_0X0_5X0_5_1044220281	C	Placement
PHZ5_2	158.279	645.291	-0.00	T	C1_0X0_5X0_5_1044220341	C	Placement
PCV5_1	666.137	91.642	180.00	T	C1_0X0_5X0_5_1044230148	C	Placement
PCZ9_1	117.540	582.089	-0.00	T	C1_0X0_5X0_5_1044230148	C	Placement
CG2921_2	398.897	740.373	270.00	T	C1_0X0_5X0_5_1044480063	C	Placement
CG90_2	398.843	713.342	90.00	T	C1_0X0_5X0_5_1045770120	C	Placement
