UC1_1 72.450 139.890 270.000 T BGA1744_50X25_1_4_1710571265 B Placement 1
C3808_1 23.188 179.623 0.000 T C0_6X0_3X0_3_1044820018 C Placement 1
C7801_1 140.015 225.851 270.000 T C0_6X0_3X0_3_1044820018 C Placement 1
CT7202_1 129.156 269.577 90.000 T C0_6X0_3X0_3_1044820018 C Placement 1
C3807_2 317.932 116.976 180.000 T C0_6X0_3X0_3_1044820018 C Placement 1
CT7201_2 211.392 27.593 270.000 T C0_6X0_3X0_3_1044820018 C Placement 1
CG1508_1 43.421 56.474 180.000 T C0_6X0_3X0_3_1044880092 C Placement 1
CG1580_1 84.336 40.163 90.000 T C0_6X0_3X0_3_1044880092 C Placement 1
CG1608_1 67.477 41.659 90.000 T C0_6X0_3X0_3_1044880092 C Placement 1
CG2922_1 61.402 89.199 90.000 T C0_6X0_3X0_3_1044880092 C Placement 1
CL5104_1 20.381 68.561 90.000 T C0_6X0_3X0_3_1044880092 C Placement 1
CG1507_2 300.175 240.696 180.000 T C0_6X0_3X0_3_1044880092 C Placement 1
CG1607_2 273.497 253.375 270.000 T C0_6X0_3X0_3_1044880092 C Placement 1
CS6811_1 149.540 254.680 180.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CV546_1 79.690 92.056 270.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CV557_1 76.451 92.056 270.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CV2724_1 73.340 93.707 270.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CS6810_2 191.580 43.062 0.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CT4213_2 313.945 178.570 180.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CV545_2 260.859 205.114 90.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CV2723_2 267.209 203.463 90.000 T C0_6X0_3X0_3_1045380111 C Placement 1
CT4236_1 23.937 121.457 180.000 T C0_6X0_3X0_3_1045380114 C Placement 1
CT4202_2 321.793 174.443 180.000 T C0_6X0_3X0_3_1045980076 C Placement 1
CT4402_1 9.859 121.495 180.000 T C0_6X0_3X0_3_1045980077 C Placement 1
CT4214_1 11.567 128.163 0.000 T C0_6X0_3X0_3_1045980078 C Placement 1
CT4203_1 26.286 123.806 0.000 T C0_6X0_3X0_3_1045980081 C Placement 1
PCG6_2 281.179 112.658 270.000 T C1_0X0_5X0_5_1044220246 C Placement 1
PCV36_1 116.012 75.165 180.000 T C1_0X0_5X0_5_1044220251 C Placement 1
PCZ55_1 31.024 171.177 0.000 T C1_0X0_5X0_5_1044220251 C Placement 1
PCV46_2 223.442 212.370 0.000 T C1_0X0_5X0_5_1044220251 C Placement 1
PCZ54_2 305.880 133.066 0.000 T C1_0X0_5X0_5_1044220251 C Placement 1
PCZ11_1 38.097 173.273 180.000 T C1_0X0_5X0_5_1044220252 C Placement 1
PCB1_2 188.786 259.025 270.000 T C1_0X0_5X0_5_1044220252 C Placement 1
PCB10_2 192.977 250.326 270.000 T C1_0X0_5X0_5_1044220252 C Placement 1
PCW23_2 232.855 267.344 90.000 T C1_0X0_5X0_5_1044220252 C Placement 1
